,name,latitude,longitude,count
236,Hunzib,42.16666667,46.25,26
237,Iaai,-20.41666667,166.58333330000002,45
238,Igbo,6.0,7.333333333,55
239,Ik,3.75,34.16666667,29
240,Ika,10.66666667,-73.75,30
241,Imonda,-3.333333333,141.16666669999998,53
242,Irarutu,-3.0,133.5,22
243,Isoko,5.5,6.25,6
244,Jeh,15.16666667,107.83333329999999,7
245,Jomang,10.58333333,30.5,8
246,Kaingang,-26.0,-52.0,13
247,Karen (Sgaw),18.0,97.0,33
248,Kashmiri,34.0,76.0,31
249,Ket,64.0,87.0,48
250,Kisi (Southern),8.5,-10.25,8
251,Klao,4.75,-8.75,12
252,Kohumono,6.0,8.116666667,6
253,Komi-Zyrian,65.0,55.0,28
254,Koromfe,14.25,-0.916666667,61
255,Kotoko,11.33333333,15.33333333,6
256,Kurdish (Central),36.0,44.0,18
257,Lahu,20.0,98.16666667,43
258,Lango,2.166666667,33.0,73
259,Lepcha,27.16666667,88.5,36
260,Lugbara,3.083333333,30.91666667,26
261,Luo,-0.5,34.75,36
262,Mien,25.0,111.0,30
263,Mixe (Totontepec),17.25,-96.0,9
264,Nancowry,8.05,93.5,18
265,Natügu,-10.78333333,165.8666667,6
266,Naxi,27.5,100.0,12
267,Ndut,14.91666667,-16.91666667,28
268,Ngiti,1.333333333,30.25,32
269,Nyah Kur (Tha Pong),15.66666667,101.66666670000001,6
270,Nyangi,3.416666667,33.58333333,10
271,Nyimang,12.16666667,29.33333333,17
272,Nyishi,27.5,93.5,12
273,Panare,6.5,-66.0,8
274,Parauk,23.25,99.5,7
275,Po-Ai,-20.66666667,164.83333330000002,11
276,Pohnpeian,6.8833333329999995,158.25,39
277,Sango,5.0,18.0,77
278,Sanuma,4.5,-64.66666667,47
279,Sedang,14.83333333,108.0,46
280,Selkup,65.0,82.0,15
281,Semelai,3.0,103.0,54
282,Sentani,-2.583333333,140.58333330000002,36
283,Sindhi,26.0,69.0,9
284,Sre,11.5,108.0,40
285,Sui,26.0,107.5,7
286,Temein,11.91666667,29.41666667,18
287,Temne,8.666666667000001,-13.08333333,27
288,Tibetan (Standard Spoken),30.0,91.0,25
289,Toro So,14.41666667,-3.25,5
290,Tunica,32.66666667,-91.0,23
291,Wantoat,-6.166666667,146.5,7
292,Waris,-3.166666667,141.0,12
293,Woisika,-8.25,124.83333329999999,13
294,Wolof,15.25,-16.0,48
295,Yelî Dnye,-11.36666667,154.16666669999998,13
296,Yoruba,8.0,4.333333333,85
297,Yulu,8.5,25.25,27
298,Angaataha,-7.216666667,146.25,6
299,Asmat,-5.5,138.5,48
300,Cherokee,35.5,-83.5,15
301,Comanche,33.5,-101.5,37
302,Cubeo,1.333333333,-70.5,12
303,Ekari,-3.833333333,135.5,19
304,Hawaiian,19.58333333,-155.5,41
305,Iwam,-4.333333333,142.0,11
306,Japreria,10.5,-73.0,7
307,Kiribati,1.333333333,173.0,50
308,Maori,-40.0,176.0,78
309,Maxakalí,-18.0,-40.0,8
310,Nasioi,-6.333333333,155.58333330000002,14
311,Nimboran,-2.5,140.16666669999998,10
312,Roro,-8.75,146.58333330000002,6
313,Rotokas,-6.0,155.16666669999998,4
314,Seneca,42.5,-77.5,17
315,Toaripi,-8.333333332999999,146.25,7
316,Waimaha,0.333333333,-70.25,4
317,Yagua,-3.5,-72.0,50
318,Ahtna,62.0,-145.0,6
319,Ao,26.58333333,94.66666667,19
320,Armenian (Eastern),40.0,45.0,45
321,Awa Pit,1.5,-78.25,43
322,Beembe,-3.916666667,14.08333333,8
323,Chipewyan,59.0,-106.0,12
324,Fyem,9.583333332999999,9.333333332999999,32
325,Guaraní,-26.0,-56.0,58
326,Itelmen,57.0,157.5,20
327,Luvale,-12.0,22.0,53
328,Mixtec (Molinos),17.0,-97.58333333,7
329,Navajo,36.16666667,-108.0,35
330,Nivkh,53.33333333,142.0,52
331,Quechua (Cochabamba),-17.5,-66.0,7
332,Savosavo,-9.133333333,159.8,16
333,Slave,67.0,-125.0,48
334,Tsou,23.5,120.75,11
335,Yupik (Siberian),65.0,-173.0,10
336,Zulu,-30.0,30.0,56
337,Abipón,-29.0,-61.0,37
338,Achumawi,41.5,-121.0,18
339,Aché,-25.25,-55.16666667,5
340,Acoma,34.91666667,-107.58333329999999,42
341,Ainu,43.0,143.0,62
342,Alabama,32.33333333,-87.41666667,12
343,Amahuaca,-10.5,-72.5,8
344,Apurinã,-9.0,-67.0,52
345,Arabela,-2.0,-75.16666667,6
346,Archi,42.0,46.83333333,12
347,Arrernte (Mparntwe),-24.0,136.0,25
348,Avar,42.5,46.5,11
349,Aymara (Central),-17.0,-69.0,28
350,Bandjalang (Yugumbir),-27.91666667,153.0,6
351,Bardi,-16.58333333,122.91666670000001,5
352,Bella Coola,52.5,-126.66666670000001,21
353,Burarra,-12.25,134.58333330000002,10
354,Cacua,1.083333333,-70.0,6
355,Campa (Axininca),-12.0,-74.0,27
356,Chehalis (Upper),46.58333333,-123.0,6
357,Chickasaw,34.0,-88.0,7
358,Chukchi,67.0,-173.0,45
359,Cree (Plains),54.0,-110.0,38
360,Dadibi,-6.55,144.58333330000002,6
361,Dyirbal,-17.83333333,145.58333330000002,30
362,Eyak,60.5,-145.0,4
363,Fasu,-6.583333333,143.33333330000002,8
364,Gadsup,-6.25,146.0,13
365,Georgian,42.0,44.0,46
366,Goajiro,12.0,-72.0,26
367,Guambiano,2.5,-76.66666667,7
368,Haida,53.0,-132.0,41
369,Hakka,25.0,116.0,24
370,Hmong Njua,28.0,105.0,93
371,Hupa,41.08333333,-123.66666670000001,19
372,Jakaltek,15.66666667,-91.66666667,55
373,Jaqaru,-13.0,-76.0,23
374,Jivaro,-2.5,-78.0,14
375,Karok,41.66666667,-123.0,40
376,Kayardild,-17.05,139.5,54
377,Kewa,-6.5,143.83333330000002,41
378,Khanty,65.0,65.0,25
379,Koasati,34.83333333,-85.16666667,36
380,Koryak,61.0,167.0,13
381,Kuku-Yalanji,-16.0,145.0,22
382,Kutenai,49.5,-116.0,54
383,Kwaio,-8.95,161.0,37
384,Lakkia,24.08333333,110.16666670000001,8
385,Lenakel,-19.45,169.25,32
386,Lusi,-5.583333333,149.66666669999998,25
387,Maidu (Northeast),40.0,-120.66666670000001,20
388,Malakmalak,-13.41666667,130.4166667,21
389,Mangarrayi,-14.66666667,133.5,45
390,Maranungku,-13.66666667,130.0,35
391,Maung,-11.91666667,133.5,59
392,Maybrat,-1.333333333,132.5,67
393,Mazahua,19.41666667,-99.91666667,6
394,Miwok (Southern Sierra),37.5,-120.0,33
395,Mixtec (Chalcatongo),17.05,-97.58333333,68
396,Mor,-2.95,135.75,18
397,Movima,-13.83333333,-65.66666667,17
398,Nahuatl (North Puebla),20.0,-98.25,12
399,Nahuatl (Tetelcingo),19.66666667,-99.0,47
400,Nama,-25.5,18.0,51
401,Nenets,70.0,76.0,35
402,Nez Perce,46.0,-116.0,31
403,Ngiyambaa,-31.75,145.5,49
404,Nuuchahnulth,49.66666667,-126.66666670000001,15
405,Ocaina,-2.75,-71.75,5
406,Ojibwa (Eastern),46.0,-80.0,22
407,Oneida,43.0,-75.66666667,38
408,Paamese,-16.5,168.25,50
409,Passamaquoddy-Maliseet,45.0,-67.0,26
410,Pech,15.0,-85.5,12
411,Pirahã,-7.0,-62.0,49
412,Pitjantjatjara,-26.0,130.0,30
413,Páez,2.666666667,-76.0,13
414,Qaget,-4.583333333,152.0,9
415,Rapanui,-27.11666667,-109.36666670000001,78
416,Sebei,1.333333333,34.58333333,12
417,Selepet,-6.166666667,147.16666669999998,12
418,Shasta,41.83333333,-122.66666670000001,11
419,Shipibo-Konibo,-7.5,-75.0,39
420,Shiriana,3.5,-62.83333333,13
421,Shuswap,52.0,-120.0,20
422,Siona,0.333333333,-76.25,9
423,Squamish,49.66666667,-123.16666670000001,40
424,Tigak,-2.7166666669999997,150.8,49
425,Tlingit,59.0,-135.0,26
426,Tonkawa,30.25,-96.75,22
427,Totonac (Papantla),20.33333333,-97.33333333,14
428,Tsova-Tush,42.5,45.5,12
429,Ungarinjin,-16.33333333,126.0,40
430,Urubú-Kaapor,-2.333333333,-46.5,33
431,Usan,-4.833333333,145.16666669999998,35
432,Wahgi,-5.833333333,144.7166667,18
433,Wambaya,-18.66666667,135.75,28
434,Wapishana,2.666666667,-60.0,7
435,Warao,9.333333332999999,-61.66666667,40
436,Waray (in Australia),-13.16666667,131.25,14
437,Wardaman,-15.5,131.0,33
438,Wari',-11.33333333,-65.0,58
439,Western Desert (Ooldea),-30.5,132.0,5
440,Wik Munkan,-13.91666667,141.75,16
441,Yanyuwa,-16.41666667,137.16666669999998,8
442,Yaqui,27.5,-110.25,59
443,Yessan-Mayo,-4.166666667,142.58333330000002,15
444,Yidiny,-17.0,145.75,39
445,Yimas,-4.666666667,143.55,37
446,Yucuna,-0.75,-71.0,9
447,Yurok,41.33333333,-124.0,44
448,Zoque (Copainalá),17.0,-93.25,30
449, Kiwai (Southern),-8.0,143.5,15
450,Adzera,-6.25,146.25,26
451,Amele,-5.25,145.58333330000002,54
452,Bajau (Sama),-4.333333333,123.0,24
453,Batak (Toba),2.5,99.0,28
454,Bisa,11.5,-0.5,7
455,Bodo,26.83333333,92.0,13
456,Bribri,9.416666667000001,-83.0,27
457,Carib,5.5,-56.0,23
458,Chatino (Sierra Occidental),16.25,-97.33333333,30
459,Chuave,-6.1166666670000005,145.1166667,4
460,Cofán,0.166666667,-77.16666667,4
461,Daga,-10.0,149.33333330000002,46
462,Dahalo,-2.333333333,40.5,6
463,Darai,24.0,84.0,6
464,Deti,-20.5,24.5,4
465,Dla (Proper),-3.583333333,141.0,6
466,Even,68.0,130.0,16
467,Evenki,56.0,125.0,45
468,Fur,13.5,25.0,38
469,Garo,25.66666667,90.5,35
470,Guahibo,5.0,-69.0,8
471,Hadza,-3.75,35.16666667,3
472,Hausa,12.0,7.0,72
473,Hindi,25.0,77.0,52
474,Hixkaryana,-1.0,-59.0,41
475,Huitoto (Murui),-1.0,-73.5,7
476,Irish (Donegal),55.0,-8.0,5
477,Ju|'hoan,-19.0,21.0,73
478,Kala Lagaw Ya,-10.11666667,142.1166667,5
479,Kannada,14.0,76.0,47
480,Kedang,-8.25,123.75,6
481,Kharia,22.5,84.33333333,19
482,Koiari,-9.5,147.33333330000002,11
483,Konyagi,12.5,-13.25,5
484,Koyra Chiini,17.0,-3.0,48
485,Koyraboro Senni,16.0,0.0,55
486,Kuna,8.0,-77.33333333,11
487,Ladakhi,34.0,78.0,30
488,Lamé,9.0,14.5,7
489,Latvian,57.0,24.0,45
490,Lavukaleve,-9.083333332999999,159.2,45
491,Lithuanian,55.0,24.0,28
492,Ma'ya,-1.25,130.9166667,7
493,Malagasy,-20.0,47.0,74
494,Manchu,49.5,127.5,8
495,Maranao,7.833333333,124.25,4
496,Margi,11.0,13.0,37
497,Marind,-7.833333333,140.16666669999998,21
498,Mbum,7.75,13.16666667,26
499,Mundari,23.0,84.66666667,40
500,Nanai,49.5,137.0,17
501,Ndyuka,4.5,-54.5,75
502,Nepali,28.0,85.0,15
503,Ngizim,12.08333333,10.91666667,28
504,Nobiin,21.0,31.0,6
505,Oromo (Harar),9.0,42.0,54
506,Pawaian,-7.0,145.08333330000002,10
507,Polish,52.0,20.0,39
508,Purépecha,19.5,-101.66666670000001,36
509,Rama,11.75,-83.75,44
510,Resígaro,-2.416666667,-71.5,14
511,Russian,56.0,38.0,63
512,Saami (Central-South),64.66666667,16.75,5
513,Sandawe,-5.0,35.0,15
514,Soqotri,12.5,54.0,4
515,Sora,20.0,84.33333333,10
516,Suena,-7.75,147.55,41
517,Swahili,-6.5,39.0,61
518,Taba,0.0,127.5,61
519,Tacana,-13.5,-68.0,10
520,Tagalog,15.0,121.0,69
521,Tarok,9.0,10.08333333,7
522,Tashlhiyt,31.0,-5.0,13
523,Tausug,6.0,121.0,19
524,Telugu,16.0,79.0,18
525,Tera,11.0,11.83333333,35
526,Tetun,-9.0,126.0,43
527,Ticuna,-4.0,-70.5,7
528,Tigré,16.5,38.5,22
529,Tiruray,6.75,124.16666670000001,6
530,Tiwa (Northern),36.5,-105.5,10
531,Waorani,-1.0,-76.5,14
532,Wappo,38.5,-122.5,25
533,West Makian,0.5,127.58333329999999,32
534,Yagaria,-6.333333333,145.41666669999998,15
535,Yareba,-9.5,148.5,10
536,Yawa,-1.75,136.25,6
537,Yeyi,-20.0,23.5,5
538,Yuchi,35.75,-86.75,29
539,!Xóõ,-24.0,21.5,17
540,Abkhaz,43.08333333,41.0,40
541,Arabic (Egyptian),30.0,31.0,66
542,Berber (Middle Atlas),33.0,-5.0,45
543,Burushaski,36.5,74.5,37
544,Hebrew (Modern Ashkenazic),31.75,35.16666667,4
545,Ingush,43.16666667,45.08333333,36
546,Klamath,42.5,-121.5,19
547,Kunimaipa,-8.0,146.83333330000002,13
548,Lak,42.16666667,47.16666667,22
549,Lezgian,41.66666667,47.83333333,44
550,Pomo (Southeastern),39.0,-122.5,21
551,Rutul,41.5,47.41666667,6
