area,title,description,entry
Complex Sentences,Purpose Clauses,Balanced,Purpose Clauses 1
Complex Sentences,Purpose Clauses,Balanced/deranked,Purpose Clauses 2
Complex Sentences,Purpose Clauses,Deranked,Purpose Clauses 3
Complex Sentences,Reason Clauses,Balanced,Reason Clauses 1
Complex Sentences,Reason Clauses,Balanced/deranked,Reason Clauses 2
Complex Sentences,Reason Clauses,Deranked,Reason Clauses 3
Complex Sentences,Relativization on Obliques,Gap,Relativization on Obliques 4
Complex Sentences,Relativization on Obliques,Non-reduction,Relativization on Obliques 2
Complex Sentences,Relativization on Obliques,Not possible,Relativization on Obliques 5
Complex Sentences,Relativization on Obliques,Pronoun-retention,Relativization on Obliques 3
Complex Sentences,Relativization on Obliques,Relative pronoun,Relativization on Obliques 1
Complex Sentences,Relativization on Subjects,Gap,Relativization on Subjects 4
Complex Sentences,Relativization on Subjects,Non-reduction,Relativization on Subjects 2
Complex Sentences,Relativization on Subjects,Pronoun-retention,Relativization on Subjects 3
Complex Sentences,Relativization on Subjects,Relative pronoun,Relativization on Subjects 1
Complex Sentences,Utterance Complement Clauses,Balanced,Utterance Complement Clauses 1
Complex Sentences,Utterance Complement Clauses,Balanced/deranked,Utterance Complement Clauses 2
Complex Sentences,Utterance Complement Clauses,Deranked,Utterance Complement Clauses 3
Complex Sentences,'Want' Complement Subjects,Both construction types exist,'Want' Complement Subjects 3
Complex Sentences,'Want' Complement Subjects,Desiderative particle,'Want' Complement Subjects 5
Complex Sentences,'Want' Complement Subjects,Desiderative verbal affix,'Want' Complement Subjects 4
Complex Sentences,'Want' Complement Subjects,Subject is expressed overtly,'Want' Complement Subjects 2
Complex Sentences,'Want' Complement Subjects,Subject is left implicit,'Want' Complement Subjects 1
Complex Sentences,'When' Clauses,Balanced,'When' Clauses 1
Complex Sentences,'When' Clauses,Balanced/deranked,'When' Clauses 2
Complex Sentences,'When' Clauses,Deranked,'When' Clauses 3
Lexicon,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',Farmer-foragers,Cultural Categories of Languages with Identity of 'Finger' and 'Hand' 2
Lexicon,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',Full-fledged farmers,Cultural Categories of Languages with Identity of 'Finger' and 'Hand' 3
Lexicon,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',Hunter-gatherers,Cultural Categories of Languages with Identity of 'Finger' and 'Hand' 1
Lexicon,Finger and Hand,Different,Finger and Hand 2
Lexicon,Finger and Hand,Identical,Finger and Hand 1
Lexicon,Green and Blue,Black/blue vs. green,Green and Blue 4
Lexicon,Green and Blue,Black/green/blue,Green and Blue 3
Lexicon,Green and Blue,Green vs. blue,Green and Blue 1
Lexicon,Green and Blue,Green/blue,Green and Blue 2
Lexicon,Green and Blue,None,Green and Blue 7
Lexicon,Green and Blue,Yellow/green vs. blue,Green and Blue 6
Lexicon,Green and Blue,Yellow/green/blue,Green and Blue 5
Lexicon,Hand and Arm,Different,Hand and Arm 2
Lexicon,Hand and Arm,Identical,Hand and Arm 1
Lexicon,M in First Person Singular,m in first person singular,M in First Person Singular 2
Lexicon,M in First Person Singular,No m in first person singular,M in First Person Singular 1
Lexicon,M in Second Person Singular,m in second person singular,M in Second Person Singular 2
Lexicon,M in Second Person Singular,No m in second person singular,M in Second Person Singular 1
Lexicon,M-T Pronouns,"M-T pronouns, non-paradigmatic",M-T Pronouns 3
Lexicon,M-T Pronouns,"M-T pronouns, paradigmatic",M-T Pronouns 2
Lexicon,M-T Pronouns,No M-T pronouns,M-T Pronouns 1
Lexicon,N-M Pronouns,"N-M pronouns, non-paradigmatic",N-M Pronouns 3
Lexicon,N-M Pronouns,"N-M pronouns, paradigmatic",N-M Pronouns 2
Lexicon,N-M Pronouns,No N-M pronouns,N-M Pronouns 1
Lexicon,Number of Basic Colour Categories,11,Number of Basic Colour Categories 7
Lexicon,Number of Basic Colour Categories,3 to 4,Number of Basic Colour Categories 1
Lexicon,Number of Basic Colour Categories,4.5-5.5,Number of Basic Colour Categories 2
Lexicon,Number of Basic Colour Categories,6-6.5,Number of Basic Colour Categories 3
Lexicon,Number of Basic Colour Categories,7-7.5,Number of Basic Colour Categories 4
Lexicon,Number of Basic Colour Categories,8-8.5,Number of Basic Colour Categories 5
Lexicon,Number of Basic Colour Categories,9 to 10,Number of Basic Colour Categories 6
Lexicon,Number of Non-Derived Basic Colour Categories,3,Number of Non-Derived Basic Colour Categories 1
Lexicon,Number of Non-Derived Basic Colour Categories,3.5,Number of Non-Derived Basic Colour Categories 2
Lexicon,Number of Non-Derived Basic Colour Categories,4,Number of Non-Derived Basic Colour Categories 3
Lexicon,Number of Non-Derived Basic Colour Categories,4.5,Number of Non-Derived Basic Colour Categories 4
Lexicon,Number of Non-Derived Basic Colour Categories,5,Number of Non-Derived Basic Colour Categories 5
Lexicon,Number of Non-Derived Basic Colour Categories,5.5,Number of Non-Derived Basic Colour Categories 6
Lexicon,Number of Non-Derived Basic Colour Categories,6,Number of Non-Derived Basic Colour Categories 7
Lexicon,Numeral Bases,Decimal,Numeral Bases 1
Lexicon,Numeral Bases,Extended body-part system,Numeral Bases 5
Lexicon,Numeral Bases,Hybrid vigesimal-decimal,Numeral Bases 2
Lexicon,Numeral Bases,Other base,Numeral Bases 4
Lexicon,Numeral Bases,Pure vigesimal,Numeral Bases 3
Lexicon,Numeral Bases,Restricted,Numeral Bases 6
Lexicon,Red and Yellow,None,Red and Yellow 5
Lexicon,Red and Yellow,Red vs. yellow,Red and Yellow 1
Lexicon,Red and Yellow,Red/yellow,Red and Yellow 2
Lexicon,Red and Yellow,Yellow/green vs. red,Red and Yellow 4
Lexicon,Red and Yellow,Yellow/green/blue vs. red,Red and Yellow 3
Lexicon,Tea,Others,Tea 3
Lexicon,Tea,Words derived from Min Nan Chinese te,Tea 2
Lexicon,Tea,Words derived from Sinitic cha,Tea 1
Morphology,Case Syncretism,Core and non-core,Case Syncretism 3
Morphology,Case Syncretism,Core cases only,Case Syncretism 2
Morphology,Case Syncretism,No case marking,Case Syncretism 1
Morphology,Case Syncretism,No syncretism,Case Syncretism 4
Morphology,Exponence of Selected Inflectional Formatives,Case + number,Exponence of Selected Inflectional Formatives 2
Morphology,Exponence of Selected Inflectional Formatives,Case + referentiality,Exponence of Selected Inflectional Formatives 3
Morphology,Exponence of Selected Inflectional Formatives,Case + TAM,Exponence of Selected Inflectional Formatives 4
Morphology,Exponence of Selected Inflectional Formatives,Monoexponential case,Exponence of Selected Inflectional Formatives 1
Morphology,Exponence of Selected Inflectional Formatives,No case,Exponence of Selected Inflectional Formatives 5
Morphology,Exponence of Tense-Aspect-Mood Inflection,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection 1
Morphology,Exponence of Tense-Aspect-Mood Inflection,no TAM,Exponence of Tense-Aspect-Mood Inflection 6
Morphology,Exponence of Tense-Aspect-Mood Inflection,TAM+agreement,Exponence of Tense-Aspect-Mood Inflection 2
Morphology,Exponence of Tense-Aspect-Mood Inflection,TAM+agreement+construct,Exponence of Tense-Aspect-Mood Inflection 4
Morphology,Exponence of Tense-Aspect-Mood Inflection,TAM+agreement+diathesis,Exponence of Tense-Aspect-Mood Inflection 3
Morphology,Exponence of Tense-Aspect-Mood Inflection,TAM+polarity,Exponence of Tense-Aspect-Mood Inflection 5
Morphology,Fusion of Selected Inflectional Formatives,Ablaut/concatenative,Fusion of Selected Inflectional Formatives 6
Morphology,Fusion of Selected Inflectional Formatives,Exclusively concatenative,Fusion of Selected Inflectional Formatives 1
Morphology,Fusion of Selected Inflectional Formatives,Exclusively isolating,Fusion of Selected Inflectional Formatives 2
Morphology,Fusion of Selected Inflectional Formatives,Exclusively tonal,Fusion of Selected Inflectional Formatives 3
Morphology,Fusion of Selected Inflectional Formatives,Isolating/concatenative,Fusion of Selected Inflectional Formatives 7
Morphology,Fusion of Selected Inflectional Formatives,Tonal/concatenative,Fusion of Selected Inflectional Formatives 5
Morphology,Fusion of Selected Inflectional Formatives,Tonal/isolating,Fusion of Selected Inflectional Formatives 4
Morphology,Inflectional Synthesis of the Verb,0-1 category per word,Inflectional Synthesis of the Verb 1
Morphology,Inflectional Synthesis of the Verb,10-11 categories per word,Inflectional Synthesis of the Verb 6
Morphology,Inflectional Synthesis of the Verb,12-13 categories per word,Inflectional Synthesis of the Verb 7
Morphology,Inflectional Synthesis of the Verb,2-3 categories per word,Inflectional Synthesis of the Verb 2
Morphology,Inflectional Synthesis of the Verb,4-5 categories per word,Inflectional Synthesis of the Verb 3
Morphology,Inflectional Synthesis of the Verb,6-7 categories per word,Inflectional Synthesis of the Verb 4
Morphology,Inflectional Synthesis of the Verb,8-9 categories per word,Inflectional Synthesis of the Verb 5
Morphology,Locus of Marking,Dependent-marking,Locus of Marking 2
Morphology,Locus of Marking,Double-marking,Locus of Marking 3
Morphology,Locus of Marking,Head-marking,Locus of Marking 1
Morphology,Locus of Marking,Inconsistent or other,Locus of Marking 5
Morphology,Locus of Marking,Zero-marking,Locus of Marking 4
Morphology,Locus of Marking in Possessive Noun Phrases,Dependent marking,Locus of Marking in Possessive Noun Phrases 2
Morphology,Locus of Marking in Possessive Noun Phrases,Double marking,Locus of Marking in Possessive Noun Phrases 3
Morphology,Locus of Marking in Possessive Noun Phrases,Head marking,Locus of Marking in Possessive Noun Phrases 1
Morphology,Locus of Marking in Possessive Noun Phrases,No marking,Locus of Marking in Possessive Noun Phrases 4
Morphology,Locus of Marking in Possessive Noun Phrases,Other,Locus of Marking in Possessive Noun Phrases 5
Morphology,Locus of Marking in the Clause,Dependent marking,Locus of Marking in the Clause 2
Morphology,Locus of Marking in the Clause,Double marking,Locus of Marking in the Clause 3
Morphology,Locus of Marking in the Clause,Head marking,Locus of Marking in the Clause 1
Morphology,Locus of Marking in the Clause,No marking,Locus of Marking in the Clause 4
Morphology,Locus of Marking in the Clause,Other,Locus of Marking in the Clause 5
Morphology,Prefixing vs. Suffixing in Inflectional Morphology,Equal prefixing and suffixing,Prefixing vs. Suffixing in Inflectional Morphology 4
Morphology,Prefixing vs. Suffixing in Inflectional Morphology,Little affixation,Prefixing vs. Suffixing in Inflectional Morphology 1
Morphology,Prefixing vs. Suffixing in Inflectional Morphology,Strong prefixing,Prefixing vs. Suffixing in Inflectional Morphology 6
Morphology,Prefixing vs. Suffixing in Inflectional Morphology,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology 2
Morphology,Prefixing vs. Suffixing in Inflectional Morphology,Weakly prefixing,Prefixing vs. Suffixing in Inflectional Morphology 5
Morphology,Prefixing vs. Suffixing in Inflectional Morphology,Weakly suffixing,Prefixing vs. Suffixing in Inflectional Morphology 3
Morphology,Reduplication,Full reduplication only,Reduplication 2
Morphology,Reduplication,No productive reduplication,Reduplication 3
Morphology,Reduplication,Productive full and partial reduplication,Reduplication 1
Morphology,Syncretism in Verbal Person/Number Marking,No subject person/number marking,Syncretism in Verbal Person/Number Marking 1
Morphology,Syncretism in Verbal Person/Number Marking,Not syncretic,Syncretism in Verbal Person/Number Marking 3
Morphology,Syncretism in Verbal Person/Number Marking,Syncretic,Syncretism in Verbal Person/Number Marking 2
Morphology,Zero Marking of A and P Arguments,Non-zero marking,Zero Marking of A and P Arguments 2
Morphology,Zero Marking of A and P Arguments,Zero-marking,Zero Marking of A and P Arguments 1
Nominal Categories,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,Asymmetrical Case-Marking 3
Nominal Categories,Asymmetrical Case-Marking,No case-marking,Asymmetrical Case-Marking 1
Nominal Categories,Asymmetrical Case-Marking,Qualitatively asymmetrical,Asymmetrical Case-Marking 5
Nominal Categories,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,Asymmetrical Case-Marking 4
Nominal Categories,Asymmetrical Case-Marking,Symmetrical,Asymmetrical Case-Marking 2
Nominal Categories,Asymmetrical Case-Marking,Syncretism in relevant NP-types,Asymmetrical Case-Marking 6
Nominal Categories,Coding of Nominal Plurality,Mixed morphological plural,Coding of Nominal Plurality 6
Nominal Categories,Coding of Nominal Plurality,No plural,Coding of Nominal Plurality 9
Nominal Categories,Coding of Nominal Plurality,Plural clitic,Coding of Nominal Plurality 8
Nominal Categories,Coding of Nominal Plurality,Plural complete reduplication,Coding of Nominal Plurality 5
Nominal Categories,Coding of Nominal Plurality,Plural prefix,Coding of Nominal Plurality 1
Nominal Categories,Coding of Nominal Plurality,Plural stem change,Coding of Nominal Plurality 3
Nominal Categories,Coding of Nominal Plurality,Plural suffix,Coding of Nominal Plurality 2
Nominal Categories,Coding of Nominal Plurality,Plural tone,Coding of Nominal Plurality 4
Nominal Categories,Coding of Nominal Plurality,Plural word,Coding of Nominal Plurality 7
Nominal Categories,Comitatives and Instrumentals,Differentiation,Comitatives and Instrumentals 2
Nominal Categories,Comitatives and Instrumentals,Identity,Comitatives and Instrumentals 1
Nominal Categories,Comitatives and Instrumentals,Mixed,Comitatives and Instrumentals 3
Nominal Categories,Conjunctions and Universal Quantifiers,Formally different,Conjunctions and Universal Quantifiers 1
Nominal Categories,Conjunctions and Universal Quantifiers,"Formally similar, with interrogative",Conjunctions and Universal Quantifiers 3
Nominal Categories,Conjunctions and Universal Quantifiers,"Formally similar, without interrogative",Conjunctions and Universal Quantifiers 2
Nominal Categories,Definite Articles,Definite affix,Definite Articles 3
Nominal Categories,Definite Articles,Definite word distinct from demonstrative,Definite Articles 1
Nominal Categories,Definite Articles,Demonstrative word used as definite article,Definite Articles 2
Nominal Categories,Definite Articles,No definite or indefinite article,Definite Articles 5
Nominal Categories,Definite Articles,"No definite, but indefinite article",Definite Articles 4
Nominal Categories,Distance Contrasts in Demonstratives,Five (or more)-way contrast,Distance Contrasts in Demonstratives 5
Nominal Categories,Distance Contrasts in Demonstratives,Four-way contrast,Distance Contrasts in Demonstratives 4
Nominal Categories,Distance Contrasts in Demonstratives,No distance contrast,Distance Contrasts in Demonstratives 1
Nominal Categories,Distance Contrasts in Demonstratives,Three-way contrast,Distance Contrasts in Demonstratives 3
Nominal Categories,Distance Contrasts in Demonstratives,Two-way contrast,Distance Contrasts in Demonstratives 2
Nominal Categories,Distributive Numerals,Marked by following word,Distributive Numerals 6
Nominal Categories,Distributive Numerals,Marked by mixed or other strategies,Distributive Numerals 7
Nominal Categories,Distributive Numerals,Marked by preceding word,Distributive Numerals 5
Nominal Categories,Distributive Numerals,Marked by prefix,Distributive Numerals 3
Nominal Categories,Distributive Numerals,Marked by reduplication,Distributive Numerals 2
Nominal Categories,Distributive Numerals,Marked by suffix,Distributive Numerals 4
Nominal Categories,Distributive Numerals,No distributive numerals,Distributive Numerals 1
Nominal Categories,Gender Distinctions in Independent Personal Pronouns,1st or 2nd person but not 3rd,Gender Distinctions in Independent Personal Pronouns 4
Nominal Categories,Gender Distinctions in Independent Personal Pronouns,3rd person non-singular only,Gender Distinctions in Independent Personal Pronouns 5
Nominal Categories,Gender Distinctions in Independent Personal Pronouns,"3rd person only, but also non-singular",Gender Distinctions in Independent Personal Pronouns 2
Nominal Categories,Gender Distinctions in Independent Personal Pronouns,3rd person singular only,Gender Distinctions in Independent Personal Pronouns 3
Nominal Categories,Gender Distinctions in Independent Personal Pronouns,In 3rd person + 1st and/or 2nd person,Gender Distinctions in Independent Personal Pronouns 1
Nominal Categories,Gender Distinctions in Independent Personal Pronouns,No gender distinctions,Gender Distinctions in Independent Personal Pronouns 6
Nominal Categories,Inclusive/Exclusive Distinction in Independent Pronouns,Inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns 5
Nominal Categories,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns 3
Nominal Categories,Inclusive/Exclusive Distinction in Independent Pronouns,No 'we',Inclusive/Exclusive Distinction in Independent Pronouns 1
Nominal Categories,Inclusive/Exclusive Distinction in Independent Pronouns,Only inclusive,Inclusive/Exclusive Distinction in Independent Pronouns 4
Nominal Categories,Inclusive/Exclusive Distinction in Independent Pronouns,'We' the same as 'I',Inclusive/Exclusive Distinction in Independent Pronouns 2
Nominal Categories,Inclusive/Exclusive Distinction in Verbal Inflection,Inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection 5
Nominal Categories,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection 3
Nominal Categories,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Inclusive/Exclusive Distinction in Verbal Inflection 1
Nominal Categories,Inclusive/Exclusive Distinction in Verbal Inflection,Only inclusive,Inclusive/Exclusive Distinction in Verbal Inflection 4
Nominal Categories,Inclusive/Exclusive Distinction in Verbal Inflection,'We' the same as 'I',Inclusive/Exclusive Distinction in Verbal Inflection 2
Nominal Categories,Inclusive/Exclusive Forms in Pama-Nyungan,Inclusive and exclusive differentiated,Inclusive/Exclusive Forms in Pama-Nyungan 2
Nominal Categories,Inclusive/Exclusive Forms in Pama-Nyungan,No inclusive/exclusive opposition,Inclusive/Exclusive Forms in Pama-Nyungan 1
Nominal Categories,Indefinite Articles,Indefinite affix,Indefinite Articles 3
Nominal Categories,Indefinite Articles,Indefinite word distinct from 'one',Indefinite Articles 1
Nominal Categories,Indefinite Articles,Indefinite word same as 'one',Indefinite Articles 2
Nominal Categories,Indefinite Articles,No definite or indefinite article,Indefinite Articles 5
Nominal Categories,Indefinite Articles,"No indefinite, but definite article",Indefinite Articles 4
Nominal Categories,Indefinite Pronouns,Existential construction,Indefinite Pronouns 5
Nominal Categories,Indefinite Pronouns,Generic-noun-based,Indefinite Pronouns 2
Nominal Categories,Indefinite Pronouns,Interrogative-based,Indefinite Pronouns 1
Nominal Categories,Indefinite Pronouns,Mixed,Indefinite Pronouns 4
Nominal Categories,Indefinite Pronouns,Special,Indefinite Pronouns 3
Nominal Categories,Intensifiers and Reflexive Pronouns,Differentiated,Intensifiers and Reflexive Pronouns 2
Nominal Categories,Intensifiers and Reflexive Pronouns,Identical,Intensifiers and Reflexive Pronouns 1
Nominal Categories,Number of Cases,10 or more cases,Number of Cases 8
Nominal Categories,Number of Cases,2 cases,Number of Cases 2
Nominal Categories,Number of Cases,3 cases,Number of Cases 3
Nominal Categories,Number of Cases,4 cases,Number of Cases 4
Nominal Categories,Number of Cases,5 cases,Number of Cases 5
Nominal Categories,Number of Cases,6-7 cases,Number of Cases 6
Nominal Categories,Number of Cases,8-9 cases,Number of Cases 7
Nominal Categories,Number of Cases,Exclusively borderline case-marking,Number of Cases 9
Nominal Categories,Number of Cases,No morphological case-marking,Number of Cases 1
Nominal Categories,Number of Genders,Five or more,Number of Genders 5
Nominal Categories,Number of Genders,Four,Number of Genders 4
Nominal Categories,Number of Genders,None,Number of Genders 1
Nominal Categories,Number of Genders,Three,Number of Genders 3
Nominal Categories,Number of Genders,Two,Number of Genders 2
Nominal Categories,Numeral Classifiers,Absent,Numeral Classifiers 1
Nominal Categories,Numeral Classifiers,Obligatory,Numeral Classifiers 3
Nominal Categories,Numeral Classifiers,Optional,Numeral Classifiers 2
Nominal Categories,Occurrence of Nominal Plurality,"All nouns, always obligatory",Occurrence of Nominal Plurality 6
Nominal Categories,Occurrence of Nominal Plurality,"All nouns, always optional",Occurrence of Nominal Plurality 4
Nominal Categories,Occurrence of Nominal Plurality,"All nouns, optional in inanimates",Occurrence of Nominal Plurality 5
Nominal Categories,Occurrence of Nominal Plurality,No nominal plural,Occurrence of Nominal Plurality 1
Nominal Categories,Occurrence of Nominal Plurality,"Only human nouns, obligatory",Occurrence of Nominal Plurality 3
Nominal Categories,Occurrence of Nominal Plurality,"Only human nouns, optional",Occurrence of Nominal Plurality 2
Nominal Categories,Ordinal Numerals,"First, second, three-th",Ordinal Numerals 7
Nominal Categories,Ordinal Numerals,"First, two, three",Ordinal Numerals 3
Nominal Categories,Ordinal Numerals,"First, two-th, three-th",Ordinal Numerals 6
Nominal Categories,Ordinal Numerals,"First/one-th, two-th, three-th",Ordinal Numerals 5
Nominal Categories,Ordinal Numerals,None,Ordinal Numerals 1
Nominal Categories,Ordinal Numerals,"One, two, three",Ordinal Numerals 2
Nominal Categories,Ordinal Numerals,"One-th, two-th, three-th",Ordinal Numerals 4
Nominal Categories,Ordinal Numerals,Various,Ordinal Numerals 8
Nominal Categories,Person Marking on Adpositions,No adpositions,Person Marking on Adpositions 1
Nominal Categories,Person Marking on Adpositions,No person marking,Person Marking on Adpositions 2
Nominal Categories,Person Marking on Adpositions,Pronouns and nouns,Person Marking on Adpositions 4
Nominal Categories,Person Marking on Adpositions,Pronouns only,Person Marking on Adpositions 3
Nominal Categories,Plurality in Independent Personal Pronouns,No independent subject pronouns,Plurality in Independent Personal Pronouns 1
Nominal Categories,Plurality in Independent Personal Pronouns,Number-indifferent pronouns,Plurality in Independent Personal Pronouns 2
Nominal Categories,Plurality in Independent Personal Pronouns,Person stem + nominal plural affix,Plurality in Independent Personal Pronouns 8
Nominal Categories,Plurality in Independent Personal Pronouns,Person stem + pronominal plural affix,Plurality in Independent Personal Pronouns 7
Nominal Categories,Plurality in Independent Personal Pronouns,Person-number affixes,Plurality in Independent Personal Pronouns 3
Nominal Categories,Plurality in Independent Personal Pronouns,Person-number stem,Plurality in Independent Personal Pronouns 4
Nominal Categories,Plurality in Independent Personal Pronouns,Person-number stem + nominal plural affix,Plurality in Independent Personal Pronouns 6
Nominal Categories,Plurality in Independent Personal Pronouns,Person-number stem + pronominal plural affix,Plurality in Independent Personal Pronouns 5
Nominal Categories,Politeness Distinctions in Pronouns,Binary politeness distinction,Politeness Distinctions in Pronouns 2
Nominal Categories,Politeness Distinctions in Pronouns,Multiple politeness distinctions,Politeness Distinctions in Pronouns 3
Nominal Categories,Politeness Distinctions in Pronouns,No politeness distinction,Politeness Distinctions in Pronouns 1
Nominal Categories,Politeness Distinctions in Pronouns,Pronouns avoided for politeness,Politeness Distinctions in Pronouns 4
Nominal Categories,Position of Case Affixes,Case prefixes,Position of Case Affixes 2
Nominal Categories,Position of Case Affixes,Case stem change,Position of Case Affixes 4
Nominal Categories,Position of Case Affixes,Case suffixes,Position of Case Affixes 1
Nominal Categories,Position of Case Affixes,Case tone,Position of Case Affixes 3
Nominal Categories,Position of Case Affixes,Inpositional clitics,Position of Case Affixes 8
Nominal Categories,Position of Case Affixes,Mixed morphological case,Position of Case Affixes 5
Nominal Categories,Position of Case Affixes,No case affixes or adpositional clitics,Position of Case Affixes 9
Nominal Categories,Position of Case Affixes,Postpositional clitics,Position of Case Affixes 6
Nominal Categories,Position of Case Affixes,Prepositional clitics,Position of Case Affixes 7
Nominal Categories,Position of Pronominal Possessive Affixes,No possessive affixes,Position of Pronominal Possessive Affixes 4
Nominal Categories,Position of Pronominal Possessive Affixes,Possessive prefixes,Position of Pronominal Possessive Affixes 1
Nominal Categories,Position of Pronominal Possessive Affixes,Possessive suffixes,Position of Pronominal Possessive Affixes 2
Nominal Categories,Position of Pronominal Possessive Affixes,Prefixes and suffixes,Position of Pronominal Possessive Affixes 3
Nominal Categories,Pronominal and Adnominal Demonstratives,Different inflection,Pronominal and Adnominal Demonstratives 3
Nominal Categories,Pronominal and Adnominal Demonstratives,Different stem,Pronominal and Adnominal Demonstratives 2
Nominal Categories,Pronominal and Adnominal Demonstratives,Identical,Pronominal and Adnominal Demonstratives 1
Nominal Categories,Sex-based and Non-sex-based Gender Systems,No gender,Sex-based and Non-sex-based Gender Systems 1
Nominal Categories,Sex-based and Non-sex-based Gender Systems,Non-sex-based,Sex-based and Non-sex-based Gender Systems 3
Nominal Categories,Sex-based and Non-sex-based Gender Systems,Sex-based,Sex-based and Non-sex-based Gender Systems 2
Nominal Categories,Systems of Gender Assignment,No gender,Systems of Gender Assignment 1
Nominal Categories,Systems of Gender Assignment,Semantic,Systems of Gender Assignment 2
Nominal Categories,Systems of Gender Assignment,Semantic and formal,Systems of Gender Assignment 3
Nominal Categories,The Associative Plural,Associative same as additive plural,The Associative Plural 1
Nominal Categories,The Associative Plural,No associative plural,The Associative Plural 4
Nominal Categories,The Associative Plural,Unique affixal associative plural,The Associative Plural 2
Nominal Categories,The Associative Plural,Unique periphrastic associative plural,The Associative Plural 3
Nominal Categories,Third Person Pronouns and Demonstratives,Related by gender markers,Third Person Pronouns and Demonstratives 5
Nominal Categories,Third Person Pronouns and Demonstratives,Related for all demonstratives,Third Person Pronouns and Demonstratives 2
Nominal Categories,Third Person Pronouns and Demonstratives,Related for non-human reference,Third Person Pronouns and Demonstratives 6
Nominal Categories,Third Person Pronouns and Demonstratives,Related to non-remote demonstratives,Third Person Pronouns and Demonstratives 4
Nominal Categories,Third Person Pronouns and Demonstratives,Related to remote demonstratives,Third Person Pronouns and Demonstratives 3
Nominal Categories,Third Person Pronouns and Demonstratives,Unrelated,Third Person Pronouns and Demonstratives 1
Nominal Syntax,Action Nominal Constructions,Double-Possessive,Action Nominal Constructions 4
Nominal Syntax,Action Nominal Constructions,Ergative-Possessive,Action Nominal Constructions 3
Nominal Syntax,Action Nominal Constructions,Mixed,Action Nominal Constructions 6
Nominal Syntax,Action Nominal Constructions,No action nominals,Action Nominal Constructions 8
Nominal Syntax,Action Nominal Constructions,Other,Action Nominal Constructions 5
Nominal Syntax,Action Nominal Constructions,Possessive-Accusative,Action Nominal Constructions 2
Nominal Syntax,Action Nominal Constructions,Restricted,Action Nominal Constructions 7
Nominal Syntax,Action Nominal Constructions,Sentential,Action Nominal Constructions 1
Nominal Syntax,Adjectives without Nouns,Marked by following word,Adjectives without Nouns 6
Nominal Syntax,Adjectives without Nouns,Marked by mixed or other strategies,Adjectives without Nouns 7
Nominal Syntax,Adjectives without Nouns,Marked by preceding word,Adjectives without Nouns 5
Nominal Syntax,Adjectives without Nouns,Marked by prefix,Adjectives without Nouns 3
Nominal Syntax,Adjectives without Nouns,Marked by suffix,Adjectives without Nouns 4
Nominal Syntax,Adjectives without Nouns,Not without noun,Adjectives without Nouns 1
Nominal Syntax,Adjectives without Nouns,Without marking,Adjectives without Nouns 2
Nominal Syntax,"Genitives, Adjectives and Relative Clauses",Adjectives and relative clauses collapsed,"Genitives, Adjectives and Relative Clauses 4"
Nominal Syntax,"Genitives, Adjectives and Relative Clauses",Genitives and adjectives collapsed,"Genitives, Adjectives and Relative Clauses 2"
Nominal Syntax,"Genitives, Adjectives and Relative Clauses",Genitives and relative clauses collapsed,"Genitives, Adjectives and Relative Clauses 3"
Nominal Syntax,"Genitives, Adjectives and Relative Clauses",Highly differentiated,"Genitives, Adjectives and Relative Clauses 6"
Nominal Syntax,"Genitives, Adjectives and Relative Clauses",Moderately differentiated in other ways,"Genitives, Adjectives and Relative Clauses 5"
Nominal Syntax,"Genitives, Adjectives and Relative Clauses",Weakly differentiated,"Genitives, Adjectives and Relative Clauses 1"
Nominal Syntax,Nominal and Verbal Conjunction,Both expressed by juxtaposition,Nominal and Verbal Conjunction 3
Nominal Syntax,Nominal and Verbal Conjunction,Differentiation,Nominal and Verbal Conjunction 2
Nominal Syntax,Nominal and Verbal Conjunction,Identity,Nominal and Verbal Conjunction 1
Nominal Syntax,Noun Phrase Conjunction,'And' different from 'with',Noun Phrase Conjunction 1
Nominal Syntax,Noun Phrase Conjunction,'And' identical to 'with',Noun Phrase Conjunction 2
Nominal Syntax,Number of Possessive Nouns,Five or more,Number of Possessive Nouns 4
Nominal Syntax,Number of Possessive Nouns,None reported,Number of Possessive Nouns 1
Nominal Syntax,Number of Possessive Nouns,One,Number of Possessive Nouns 2
Nominal Syntax,Number of Possessive Nouns,Two to four,Number of Possessive Nouns 3
Nominal Syntax,Obligatory Possessive Inflection,Absent,Obligatory Possessive Inflection 2
Nominal Syntax,Obligatory Possessive Inflection,Exists,Obligatory Possessive Inflection 1
Nominal Syntax,Possessive Classification,More than five classes,Possessive Classification 4
